공고번호,날짜,발주기관,공고명,1순위업체,투찰금액,투찰률,기초금액
R26BK01690713,2026-09-01,한국농어촌공사 전남지역본부 목포.무안.신안지사,2026년 무안군 운남권역 성내5지구 친환경에너지보급사업(해수열) 기계설비공사,주식회사 귀뚜라미중앙,197292385,89.843,
R26BK01699793,2026-09-01,경상남도 양산시,"2026년 등산로 풀베기사업(2차)-오봉산, 성황산, 군지산",양산시산림조합,50906000,89.932,56539000
R26BK01699632,2026-09-01,충청남도 부여군,임천면 대조사 진입도로 개선공사(정주환경),주식회사보배건설산업,24756995,90.409,
R26BK01693738,2026-09-01,서울특별시 양천구,신월2동 주민센터 건립 전기공사,주식회사 지앤에스기술,604843958,90.38,
R26BK01696002,2026-09-01,경상남도 고성군,하이체육공원 인조잔디 교체공사 견적 제출 공고(정정),주식회사 가야조경건설,31627000,90.698,
R26BK01694579,2026-09-01,경상북도 고령군,2026년 고도이미지찾기사업(공동주택 외벽경관 개선사업),(주)정도건설,150516110,90.472,167000000
R26BK01700013,2026-09-01,강원도 고성군산림조합,2026년 어린나무가꾸기사업,이푸른산임업영농조합법인,113900000,90.758,
R26BK01699050,2026-09-01,경기도 남양주시 공원녹지관리사업소,2026년 소하천 유지관리사업(단가계약)-2차 4권역,휴먼테크 주식회사,43524742,90.646,
R26BK01698664,2026-09-01,전북특별자치도 전주시 덕진구,[2026년 추석 명절 대비] 덕진구 관내 도로 풀베기 및 지장수목 제거사업(단가계약),고수조경 주식회사,50379800,90.019,
R26BK01697310,2026-09-01,경상남도진주교육청 금곡중학교,금곡중학교 위클래스 및 특별실 내부수선공사 수의계약 안내공고(변경),주식회사 펄하우징,42240800,89.958,
R26BK01698542,2026-09-01,경기도 성남시,신흥제2어린이집 노후 놀이터 정비공사,랜데코조경 주식회사,61231815,90.412,
R26BK01698797,2026-09-01,경기도 수원시,수성고등학교 통학로 보행자 우선도로 조성공사,범진건설(주),67067765,92.059,
